ID;Title;URL;Actual Price;Old Price;Base Price;Courier Price;Subscribe Price;Single Item Pack Discount Price;Whole Pack Discount Price;Whole Pack Without Discount Price;Brand
147001;Regional Ocean Сухой корм для собак, с лососем и треской, 2 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/regional-ocean-korm-suhoy-dlya-sobak.html;1949;0;0;0;0;0;0;0;Dog & Dog Wild
113399;Medium Sterilized Ultra Сухой корм для стерилизованных собак средних пород, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-dlya-sterilizovannyh-sobak-srednih-porod-3-kg.html;3359;0;0;0;0;0;0;0;Ownat
154315;Сухой корм на основе свежего мяса для щенков мелких пород, с индейкой, 400 гр.;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/sukhoy-korm-na-osnove-svezhego-myasa-dlya-shchenkov-melkikh-porod-s-indeykoy-400g.html;409;0;0;0;0;0;0;0;Aвва
42359;Sensitive Digestion Сухой корм для взрослых собак средних пород с чувствительным пищеварением, с ягненком, 1,5 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Pro_Plan_Adult_suhoy_korm_dlya_sobak_s_chuvstvitelnym_pishchevareniem_yagnenokris.html;1235;0;0;0;0;0;0;0;PRO PLAN®
112543;Сухой корм для взрослых собак крупных пород, ягненок с индейкой, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-krupnyh-porod-yagnenok-s-risom-3kg.html;3815;0;0;0;0;0;0;0;Grandorf
117414;Natural Ingredients Сухой корм для взрослых собак с ягненком и рисом, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-korm-dlya-vzroslyh-sobak-s-yagnenkom-i-risom-mesh-12kg.html;1614;0;0;0;0;0;0;0;Aвва
42428;X-Small Puppy Сухой корм для щенков миниатюрных пород в возрасте от 2 до 10 месяцев, 500 гр.;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Caninmall_korm_suhoy_korm_dlya_shchenkov_ot_2_do_10_mes.html;537;0;0;0;0;0;0;0;Royal Canin
146998;Natural Instinct Сухой корм для щенков, с лососем и уткой, 2 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/natural-instinct-korm-suhoy-dlya-shchenkov.html;1899;0;0;0;0;0;0;0;Dog & Dog Wild
140809;Holistic Сухой корм для собак средних и крупных пород, с ягненком, 2,7 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/holistic-suhoy-korm-dlya-sobak-srednih-i-krupnyh-porod-s-yagnenkom-11-2-kg.html;3499;0;0;0;0;0;0;0;Grandin
42360;Sensitive Digestion Сухой корм для щенков средних пород с чувствительным пищеварением, с ягненком, 1,5 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Pro_Plan_Puppy_suhoy_korm_dlya_shchenkov_s_chuvstvitelnym_pishchevareniem_yagnenok.html;1235;0;0;0;0;0;0;0;PRO PLAN®
